strain,accession,originating_lab,submitting_lab
A/RiodeJaneiro/357/2018,EPI1279506,laboratório_central_de_saúde_pública_(lacen_rj),instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)
A/SantaCatarina/337/2018,EPI1279529,lacen_sc,instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)
A/Santiago/34512/2018,EPI1255879,instituto_de_salud_publica_de_chile_,instituto_de_salud_publica_de_chile
A/Iquique/37845/2018,EPI1256445,instituto_de_salud_publica_de_chile_,centers_for_disease_control_and_prevention
A/Parana/318/2018,EPI1279493,laboratório_central_do_estado_do_paraná___lacen/pr,instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)
A/Valparaiso/35691/2018,EPI1255881,instituto_de_salud_publica_de_chile_,instituto_de_salud_publica_de_chile
A/EspiritoSanto/372/2018,EPI1279449,lacen/es___laboratório_central_de_saúde_pública_do_espírito_santo,instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)
A/EspiritoSanto/373/2018,EPI1279450,lacen/es___laboratório_central_de_saúde_pública_do_espírito_santo,instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)
A/Hebei-Luquan/1108/2019,EPI1380685,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/HongKong/810/2019,EPI1415360,hong_kong_department_of_health,hong_kong_department_of_health
A/Shandong-Mudan/1181/2019,EPI1380721,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/Xinjiang-Kuerle/1191/2019,EPI1504892,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/Liaoning-Xigang/1240/2019,EPI1380709,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/Anhui-Langya/1176/2019,EPI1380682,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/Jiangxi-Yuanzhou/1266/2019,EPI1380787,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/Guizhou-Qingzhen/1110/2019,EPI1380718,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/Gansu-Chengguan/1321/2019,EPI1380703,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/Chongqing-Wanzhou/1121/2019,EPI1380697,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/Macau/601124/2019,EPI1503811,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/Beijing-Chaoyang/1374/2019,EPI1380778,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/HongKong/1132/2019,EPI1415364,hong_kong_department_of_health,hong_kong_department_of_health
A/Yaroslavl/164/2016,EPI918066,ivanovsky_research_institute_of_virology_rams,centers_for_disease_control_and_prevention
A/Yaroslavl/160/2016,EPI918050,ivanovsky_research_institute_of_virology_rams,centers_for_disease_control_and_prevention
A/Moscow/165/2016,EPI918035,ivanovsky_research_institute_of_virology_rams,centers_for_disease_control_and_prevention
A/Tomsk/30546/2016,EPI943564,state_research_center_of_virology_and_biotechnology_(vector),centers_for_disease_control_and_prevention
A/Yaroslavl/162/2016,EPI918058,ivanovsky_research_institute_of_virology_rams,centers_for_disease_control_and_prevention
A/Kyrgyzstan/108/2016,EPI891680,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Kyrgyzstan/69/2016,EPI891708,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Kyrgyzstan/15A/2016,EPI891700,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Kyrgyzstan/82/2016,EPI891706,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Tambov/CRIE-26/2016,EPI957869,?,central_research_institute_for_epidemiology
A/Jordan/4026/2016,EPI887395,laboratory_directorate,crick_worldwide_influenza_centre
A/Kyrgyzstan/4/2017,EPI978690,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Cherkessk/CRIE-40/2016,EPI958033,?,central_research_institute_for_epidemiology
A/Antalya/1870/2016,EPI1013055,refik_saydam_national_public_health_agency,crick_worldwide_influenza_centre
A/Choibalsan/2996/2016,EPI943160,national_center_for_communicable_diseases,national_institute_of_infectious_diseases_(niid)
A/Choibalsan/2977/2016,EPI943158,national_center_for_communicable_diseases,national_institute_of_infectious_diseases_(niid)
A/Kyrgyzstan/30/2016,EPI978688,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Kazakhstan/4940/2016,EPI991586,national_reference_laboratory,crick_worldwide_influenza_centre
A/Yaroslavl/20161/2016,EPI960156,ivanovsky_research_institute_of_virology_rams,crick_worldwide_influenza_centre
A/Moscow/20166/2016,EPI960152,ivanovsky_research_institute_of_virology_rams,crick_worldwide_influenza_centre
A/Arkhangelsk/RII153S/2016,EPI886138,?,who_national_influenza_centre_russian_federation
A/Kyrgyzstan/71/2016,EPI891714,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Kyrgyzstan/117/2016,EPI891682,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Orel/RII317S/2016,EPI886146,?,who_national_influenza_centre_russian_federation
A/Tula/10/2016,EPI913815,who_national_influenza_centre_russian_federation,crick_worldwide_influenza_centre
A/Armenia/2068/2016,EPI1015651,centre_for_diseases_control_and_prevention,crick_worldwide_influenza_centre
A/Kazakhstan/4937/2016,EPI991582,national_reference_laboratory,crick_worldwide_influenza_centre
A/Cherkessk/CRIE-39/2016,EPI958016,?,central_research_institute_for_epidemiology
A/RostovOnDon/RII152S/2016,EPI886130,?,who_national_influenza_centre_russian_federation
A/Kyrgyzstan/24/2016,EPI978682,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Iran/58117/2016,EPI913765,tehran_university_of_medical_sciences,crick_worldwide_influenza_centre
A/Kyrgyzstan/158/2016,EPI891678,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Syktyvkar/CRIE-12/2016,EPI957819,?,central_research_institute_for_epidemiology
A/Oman/7679/2016,EPI913795,"central_public_health_laboratory,_ministry_of_health",crick_worldwide_influenza_centre
A/Tyumen/7/2016,EPI943572,state_research_center_of_virology_and_biotechnology_(vector),centers_for_disease_control_and_prevention
A/Kyrgyzstan/13/2017,EPI917212,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Jordan/4052/2016,EPI887397,laboratory_directorate,crick_worldwide_influenza_centre
A/Kazakhstan/4962/2016,EPI991591,national_reference_laboratory,crick_worldwide_influenza_centre
A/Oman/7582/2016,EPI913791,"central_public_health_laboratory,_ministry_of_health",crick_worldwide_influenza_centre
A/Kyrgyzstan/15/2017,EPI917214,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Kyrgyzstan/29/2016,EPI978686,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Armenia/2065/2016,EPI1015648,centre_for_diseases_control_and_prevention,crick_worldwide_influenza_centre
A/Kyrgyzstan/130/2016,EPI891684,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Moscow/CRIE-91/2016,EPI960196,?,central_research_institute_for_epidemiology
A/Kyrgyzstan/28/2016,EPI978684,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Kyrgyzstan/110/2016,EPI891688,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Kyrgyzstan/12/2017,EPI978675,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Kazakhstan/4902/2016,EPI991560,national_reference_laboratory,crick_worldwide_influenza_centre
A/Kyrgyzstan/68/2016,EPI891692,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Oman/7750/2016,EPI913799,"central_public_health_laboratory,_ministry_of_health",crick_worldwide_influenza_centre
A/Kyrgyzstan/171/2016,EPI978676,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Kyrgyzstan/1/2017,EPI978673,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Kyrgyzstan/58/2016,EPI891704,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Kyrgyzstan/136/2016,EPI891686,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Kyrgyzstan/7/2017,EPI978692,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Kyrgyzstan/9/2017,EPI917220,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Kyrgyzstan/21/2016,EPI917216,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Cherkessk/CRIE-38/2016,EPI958002,?,central_research_institute_for_epidemiology
A/Volgograd/RII753S/2016,EPI886443,?,who_national_influenza_centre_russian_federation
A/StPetersburg/RII155S/2016,EPI886030,?,who_national_influenza_centre_russian_federation
A/Azerbaijan/955/2016,EPI991523,republican_anti_plague_station,crick_worldwide_influenza_centre
A/Kyrgyzstan/85/2016,EPI891702,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Iran/58226/2016,EPI913767,tehran_university_of_medical_sciences,crick_worldwide_influenza_centre
A/StPetersburg/333/2016,EPI910540,russian_academy_of_medical_sciences,centers_for_disease_control_and_prevention
A/Kyrgyzstan/2/2016,EPI891690,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Jordan/20655/2016,EPI887391,laboratory_directorate,crick_worldwide_influenza_centre
A/Kazakhstan/4876/2016,EPI991556,national_reference_laboratory,crick_worldwide_influenza_centre
A/StPetersburg/RII333/2016,EPI886585,?,who_national_influenza_centre_russian_federation
A/Kazakhstan/4932/2016,EPI991576,national_reference_laboratory,crick_worldwide_influenza_centre
A/Choibalsan/3002/2016,EPI874763,national_center_for_communicable_diseases,national_centre_for_disease_control_(ncdc)
A/Yaroslavl/20163/2016,EPI960158,ivanovsky_research_institute_of_virology_rams,crick_worldwide_influenza_centre
A/Choibalsan/2998/2016,EPI874760,national_center_for_communicable_diseases,national_centre_for_disease_control_(ncdc)
A/Kyrgyzstan/27/2016,EPI917218,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Cherkessk/CRIE-35/2016,EPI957886,?,central_research_institute_for_epidemiology
A/Belgorod/RII464S/2016,EPI886225,?,who_national_influenza_centre_russian_federation
A/Jordan/30308/2016,EPI887393,laboratory_directorate,crick_worldwide_influenza_centre
A/Kyrgyzstan/102/2016,EPI891696,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Kyrgyzstan/2/2017,EPI978678,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Oman/7840/2016,EPI913801,"central_public_health_laboratory,_ministry_of_health",crick_worldwide_influenza_centre
A/StPetersburg/RII127S/2016,EPI886022,?,who_national_influenza_centre_russian_federation
A/Iran/57824/2016,EPI913763,tehran_university_of_medical_sciences,crick_worldwide_influenza_centre
A/Cherkessk/CRIE-37/2016,EPI957993,?,central_research_institute_for_epidemiology
A/Kazakhstan/4903/2016,EPI991562,national_reference_laboratory,crick_worldwide_influenza_centre
A/Oman/7695/2016,EPI913797,"central_public_health_laboratory,_ministry_of_health",crick_worldwide_influenza_centre
A/Kazakhstan/4930/2016,EPI991571,national_reference_laboratory,crick_worldwide_influenza_centre
A/Tyumen/13/2016,EPI991794,state_research_center_of_virology_and_biotechnology_(vector),crick_worldwide_influenza_centre
A/Kyrgyzstan/75/2016,EPI891712,"national_virology_laboratory,_center_microbiological_investigations",crick_worldwide_influenza_centre
A/Taraz/ZVL736/2016,EPI1001925,csee,national_centre_of_expertise_in_astana
A/Moscow/CRIE-93/2016,EPI960198,?,central_research_institute_for_epidemiology
A/Choibalsan/2974/2016,EPI873642,national_center_for_communicable_diseases,national_centre_for_disease_control_(ncdc)
A/Singapore/TT0372/2019,EPI1597941,"ministry_of_health,_singapore","ministry_of_health,_singapore"
A/Singapore/TT0365/2019,EPI1597955,"ministry_of_health,_singapore","ministry_of_health,_singapore"
A/Singapore/OHC0015/2019,EPI1597880,"ministry_of_health,_singapore","ministry_of_health,_singapore"
A/Singapore/NTF0036/2019,EPI1597903,"ministry_of_health,_singapore","ministry_of_health,_singapore"
A/Lao/1214/2019,EPI1591574,national_center_for_laboratory_and_epidemiology,centers_for_disease_control_and_prevention
A/Lopburi/235/2019,EPI1586817,"who_national_influenza_centre,_national_institute_of_medical_research_(nimr)",centers_for_disease_control_and_prevention
A/Cambodia/d0528383/2019,EPI1583996,institute_pasteur_du_cambodia,who_collaborating_centre_for_reference_and_research_on_influenza
A/Singapore/TT0378/2019,EPI1597972,"ministry_of_health,_singapore","ministry_of_health,_singapore"
A/Singapore/GP0830/2019,EPI1597866,"ministry_of_health,_singapore","ministry_of_health,_singapore"
A/Lao/F1270/2019,EPI1589350,national_center_for_laboratory_and_epidemiology,national_institute_of_infectious_diseases_(niid)
A/Ghana/FS-15-0583/2015,EPI715834,university_of_ghana,crick_worldwide_influenza_centre
A/Cameroon/15V-6741/2015,EPI746007,centre_pasteur_du_cameroun,crick_worldwide_influenza_centre
A/Mali/209CH/2015,EPI688839,nic_lab_cvd_mali,centers_for_disease_control_and_prevention
A/Mali/229CI/2015,EPI695815,nic_lab_cvd_mali,centers_for_disease_control_and_prevention
A/Mali/13HOP/2015,EPI688779,nic_lab_cvd_mali,centers_for_disease_control_and_prevention
A/Mali/119CS/2015,EPI688855,nic_lab_cvd_mali,centers_for_disease_control_and_prevention
A/Cameroon/15V-6727/2015,EPI1074796,?,other_database_import
A/CoteDIvoire/1638/2015,EPI730066,pasteur_institut_of_côte_d'ivoire,centers_for_disease_control_and_prevention
A/Cameroon/15v-7691/2015,EPI1333795,centre_pasteur_du_cameroun,university_of_buea
A/Bangladesh/10001/2015,EPI722498,institute_of_epidemiology_disease_control_and_research_(iedcr)_&_bangladesh_national_influenza_centre_(nic),centers_for_disease_control_and_prevention
A/Bangladesh/14006/2015,EPI701777,institute_of_epidemiology_disease_control_and_research_(iedcr)_&_bangladesh_national_influenza_centre_(nic),centers_for_disease_control_and_prevention
A/Bangladesh/13004/2015,EPI701940,institute_of_epidemiology_disease_control_and_research_(iedcr)_&_bangladesh_national_influenza_centre_(nic),centers_for_disease_control_and_prevention
A/Bangladesh/13003/2015,EPI701984,institute_of_epidemiology_disease_control_and_research_(iedcr)_&_bangladesh_national_influenza_centre_(nic),centers_for_disease_control_and_prevention
A/Bangladesh/3806/2015,EPI701825,institute_of_epidemiology_disease_control_and_research_(iedcr)_&_bangladesh_national_influenza_centre_(nic),centers_for_disease_control_and_prevention
A/Bangladesh/110005/2015,EPI701932,institute_of_epidemiology_disease_control_and_research_(iedcr)_&_bangladesh_national_influenza_centre_(nic),centers_for_disease_control_and_prevention
A/Bangladesh/2170/2015,EPI702096,institute_of_epidemiology_disease_control_and_research_(iedcr)_&_bangladesh_national_influenza_centre_(nic),centers_for_disease_control_and_prevention
A/SriLanka/61/2015,EPI765140,medical_research_institute,who_collaborating_centre_for_reference_and_research_on_influenza
A/Ontario/RV2414/2015,EPI731069,"national_microbiology_laboratory,_health_canada",centers_for_disease_control_and_prevention
A/Wyoming/19/2015,EPI677550,wyoming_public_health_laboratory,centers_for_disease_control_and_prevention
A/PuertoRico/44/2015,EPI689021,puerto_rico_department_of_health,centers_for_disease_control_and_prevention
A/Ontario/RV2427/2015,EPI698451,"national_microbiology_laboratory,_health_canada",centers_for_disease_control_and_prevention
A/Ontario/RV2425/2015,EPI695722,"national_microbiology_laboratory,_health_canada",centers_for_disease_control_and_prevention
A/Louisiana/7/2015,EPI695634,louisiana_department_of_health_and_hospitals,centers_for_disease_control_and_prevention
A/PuertoRico/51/2015,EPI689044,puerto_rico_department_of_health,centers_for_disease_control_and_prevention
A/CostaRica/4582/2015,EPI711075,laboratorio_nacional_de_influenza,centers_for_disease_control_and_prevention
A/Florida/86/2015,EPI686151,florida_department_of_health_tampa,centers_for_disease_control_and_prevention
A/Florida/94/2015,EPI688117,florida_department_of_health_jacksonville,centers_for_disease_control_and_prevention
A/NorthWestTerritories/RV2434/2015,EPI698383,"national_microbiology_laboratory,_health_canada",centers_for_disease_control_and_prevention
A/CostaRica/3047/2015,EPI693512,laboratorio_nacional_de_influenza,centers_for_disease_control_and_prevention
A/Sydney/248/2015,EPI750868,westmead_hospital,who_collaborating_centre_for_reference_and_research_on_influenza
A/Sydney/223/2015,EPI750866,westmead_hospital,who_collaborating_centre_for_reference_and_research_on_influenza
A/Canberra/91/2015,EPI750872,canberra_hospital,who_collaborating_centre_for_reference_and_research_on_influenza
A/Victoria/664/2015,EPI704095,monash_medical_centre,who_collaborating_centre_for_reference_and_research_on_influenza
A/Sydney/1043/2015,EPI750778,institute_of_medical_and_veterinary_science_(imvs),who_collaborating_centre_for_reference_and_research_on_influenza
A/Victoria/1013/2015,EPI750812,institute_of_medical_and_veterinary_science_(imvs),who_collaborating_centre_for_reference_and_research_on_influenza
A/Sydney/224/2015,EPI750878,westmead_hospital,who_collaborating_centre_for_reference_and_research_on_influenza
A/Victoria/2118/2015,EPI750874,alfred_hospital,who_collaborating_centre_for_reference_and_research_on_influenza
A/Wellington/8/2015,EPI2187379,institute_of_environmental_science_and_research_(esr),who_collaborating_centre_for_reference_and_research_on_influenza
A/Wellington/10/2015,EPI2187198,institute_of_environmental_science_and_research_(esr),who_collaborating_centre_for_reference_and_research_on_influenza
A/Victoria/68/2015,EPI750780,victorian_infectious_diseases_reference_laboratory_,who_collaborating_centre_for_reference_and_research_on_influenza
A/Victoria/1014/2015,EPI750814,institute_of_medical_and_veterinary_science_(imvs),who_collaborating_centre_for_reference_and_research_on_influenza
A/Victoria/661/2015,EPI750876,monash_medical_centre,who_collaborating_centre_for_reference_and_research_on_influenza
A/Victoria/2139/2015,EPI750884,alfred_hospital,who_collaborating_centre_for_reference_and_research_on_influenza
A/Victoria/662/2015,EPI750886,monash_medical_centre,who_collaborating_centre_for_reference_and_research_on_influenza
A/Victoria/73/2015,EPI750796,victorian_infectious_diseases_reference_laboratory_,who_collaborating_centre_for_reference_and_research_on_influenza
A/Canberra/93/2015,EPI750881,canberra_hospital,who_collaborating_centre_for_reference_and_research_on_influenza
A/Victoria/639/2015,EPI675588,monash_medical_centre,who_collaborating_centre_for_reference_and_research_on_influenza
A/Sydney/1033/2015,EPI676056,institute_of_medical_and_veterinary_science_(imvs),who_collaborating_centre_for_reference_and_research_on_influenza
A/Brisbane/172/2015,EPI676262,queensland_health_scientific_services,who_collaborating_centre_for_reference_and_research_on_influenza
A/Victoria/3093/2015,EPI750756,austin_health,who_collaborating_centre_for_reference_and_research_on_influenza
A/SouthAustralia/129/2015,EPI676173,institute_of_medical_and_veterinary_science_(imvs),who_collaborating_centre_for_reference_and_research_on_influenza
A/Victoria/3085/2015,EPI676239,austin_health,who_collaborating_centre_for_reference_and_research_on_influenza
A/Dakar/28/2018,EPI1392918,institut_pasteur_de_dakar__,crick_worldwide_influenza_centre
A/Dakar/25/2018,EPI1392916,institut_pasteur_de_dakar__,crick_worldwide_influenza_centre
A/Dakar/29/2018,EPI1392920,institut_pasteur_de_dakar__,crick_worldwide_influenza_centre
A/Kenya/167/2018,EPI1356504,cdc_kenya,centers_for_disease_control_and_prevention
A/Kenya/166/2018,EPI1343088,cdc_kenya,centers_for_disease_control_and_prevention
A/SouthAfrica/R09652/2018,EPI1310136,"sandringham,_national_institute_for_communicable_d",crick_worldwide_influenza_centre
A/Congo/357/2018,EPI1269158,inrb_service_de_virologie,centers_for_disease_control_and_prevention
A/Zambia/2-132/2018,EPI1506631,university_teaching_hospital,crick_worldwide_influenza_centre
A/Zambia/2-130/2018,EPI1506629,university_teaching_hospital,crick_worldwide_influenza_centre
A/Singapore/TT0348/2017,EPI1023776,"ministry_of_health,_singapore","ministry_of_health,_singapore"
A/Nonthaburi/33/2017,EPI1044759,"who_national_influenza_centre,_national_institute_of_medical_research_(nimr)",who_collaborating_centre_for_reference_and_research_on_influenza
A/Philippines/7/2017,EPI1044768,research_institute_of_tropical_medicine,who_collaborating_centre_for_reference_and_research_on_influenza
A/Singapore/GP0423/2017,EPI1023522,"ministry_of_health,_singapore","ministry_of_health,_singapore"
A/Indonesia/Nihrd-Pal350/2017,EPI1130171,"ministry_of_health,_nihrd",centers_for_disease_control_and_prevention
A/Malaysia/RP1254/2017,EPI1244371,institut_penyelidikan_perubatan,who_collaborating_centre_for_reference_and_research_on_influenza
A/Malaysia/RP1252/2017,EPI1244363,institut_penyelidikan_perubatan,who_collaborating_centre_for_reference_and_research_on_influenza
A/Singapore/KK0262/2017,EPI1023546,"ministry_of_health,_singapore","ministry_of_health,_singapore"
A/Indonesia/Nihrd-Bjm579/2017,EPI1130211,"ministry_of_health,_nihrd",centers_for_disease_control_and_prevention
A/Singapore/TT0305/2017,EPI1023554,"ministry_of_health,_singapore","ministry_of_health,_singapore"
A/Indonesia/Nihrd-Sb17-3172/2017,EPI1130163,"ministry_of_health,_nihrd",centers_for_disease_control_and_prevention
A/Singapore/TT0292/2017,EPI1023768,"ministry_of_health,_singapore","ministry_of_health,_singapore"
A/Indonesia/Nihrd-Mlg455/2017,EPI1130187,"ministry_of_health,_nihrd",centers_for_disease_control_and_prevention
A/Indonesia/3081006/2017,EPI1655767,shanghai_international_travel_healthcare_center,shanghai_international_travel_healthcare_center
A/Yunnan-Hongta/11097/2015,EPI710456,who_chinese_national_influenza_center,centers_for_disease_control_and_prevention
A/Shanghai-Putuo/1743/2015,EPI697315,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/Liaoning-Lianshan/1464/2015,EPI697357,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/Yunnan-Mengzi/1855/2015,EPI697413,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/HongKong/15590/2015,EPI686104,government_virus_unit,centers_for_disease_control_and_prevention
A/Guangxi-Xiangshan/1829/2015,EPI697465,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/Sichuan-Ziliujing/1542/2015,EPI697333,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/Taiwan/1074/2015,EPI706785,center_for_disease_control,national_institute_of_infectious_diseases_(niid)
A/Yunnan-Qilin/1931/2015,EPI697400,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/HongKong/15611/2015,EPI686120,government_virus_unit,centers_for_disease_control_and_prevention
A/Jiangsu-Gusu/11686/2015,EPI697458,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/Shandong-Zhifu/1382/2015,EPI1067829,?,other_database_import
A/Yunnan-Guandu/11110/2015,EPI697410,who_chinese_national_influenza_center,who_chinese_national_influenza_center
A/Myanmar/JP116/2009,EPI230155,?,national_institute_of_infectious_diseases_(niid)
A/Myanmar/86/2009,EPI266367,national_health_laboratory,national_institute_of_infectious_diseases_(niid)
A/Lao/JP1632/2009,EPI230154,?,national_institute_of_infectious_diseases_(niid)
A/Myanmar/JP164/2009,EPI230160,?,national_institute_of_infectious_diseases_(niid)
A/Cambodia/T108/2009,EPI341414,?,other_database_import
A/Vietnam/HN31959/2009,EPI395155,?,other_database_import
A/Vietnam/2153/2009,EPI241171,national_institute_of_hygiene_and_epidemiology,centers_for_disease_control_and_prevention
A/Cambodia/6735/2009,EPI232520,"namru_2,_cambodia",centers_for_disease_control_and_prevention
A/Cambodia/T284/2009,EPI341409,?,other_database_import
A/Vietnam/409/2009,EPI243554,national_institute_of_hygiene_and_epidemiology,centers_for_disease_control_and_prevention
A/Myanmar/79/2009,EPI266366,national_health_laboratory,national_institute_of_infectious_diseases_(niid)
A/Cambodia/T175/2009,EPI341412,?,other_database_import
A/Singapore/C2009518V/2009,EPI392951,?,other_database_import
A/Myanmar/JP173/2009,EPI230161,?,national_institute_of_infectious_diseases_(niid)
A/Cambodia/71/2009,EPI341418,?,other_database_import
A/Cambodia/T68/2009,EPI341419,?,other_database_import
A/Myanmar/JP120/2009,EPI230156,?,national_institute_of_infectious_diseases_(niid)
A/Singapore/C2009515/2009,EPI457929,?,other_database_import
A/Thailand/CU-B657/2009,EPI230869,?,other_database_import
A/Singapore/GP1891/2009,EPI339459,?,other_database_import
A/Singapore/GP2240/2009,EPI339457,?,other_database_import
A/Myanmar/JP137/2009,EPI230157,?,national_institute_of_infectious_diseases_(niid)
A/Myanmar/89/2009,EPI266369,national_health_laboratory,national_institute_of_infectious_diseases_(niid)
A/Singapore/H2009510/2009,EPI457966,?,other_database_import
A/Myanmar/88/2009,EPI266368,national_health_laboratory,national_institute_of_infectious_diseases_(niid)
A/Lao/JP1418/2009,EPI230153,?,national_institute_of_infectious_diseases_(niid)
A/Cambodia/T191/2009,EPI341411,?,other_database_import
A/Thailand/CU-B590/2009,EPI230861,?,other_database_import
A/Cambodia/T092/2009,EPI341416,?,other_database_import
A/Myanmar/78/2009,EPI266365,national_health_laboratory,national_institute_of_infectious_diseases_(niid)
A/Myanmar/JP82/2009,EPI210972,?,national_institute_of_infectious_diseases_(niid)
A/Myanmar/74/2009,EPI266364,national_health_laboratory,national_institute_of_infectious_diseases_(niid)
A/Myanmar/JP160/2009,EPI230159,?,national_institute_of_infectious_diseases_(niid)
A/Singapore/H2009518/2009,EPI457967,?,other_database_import
A/Argentina/1356/2019,EPI1586809,instituto_nacional_de_enfermedades_infecciosas,centers_for_disease_control_and_prevention
A/Argentina/14388/2019,EPI1586208,cemic_university_hospital,centers_for_disease_control_and_prevention
A/Bolivia/979/2019,EPI1603759,cenetrop,centers_for_disease_control_and_prevention
A/Argentina/1449/2019,EPI1586770,instituto_nacional_de_enfermedades_infecciosas,centers_for_disease_control_and_prevention
A/Argentina/14352/2019,EPI1587135,cemic_university_hospital,centers_for_disease_control_and_prevention
A/Santiago/62660/2019,EPI1587649,instituto_de_salud_publica_de_chile,centers_for_disease_control_and_prevention
A/Santiago/63236/2019,EPI1574761,instituto_de_salud_publica_de_chile,instituto_de_salud_publica_de_chile
A/Bahia/745/2019,EPI1619077,instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs),centers_for_disease_control_and_prevention
A/Suriname/810/2019,EPI1603608,"central_laboratory,_bureau_of_public_health",centers_for_disease_control_and_prevention
A/SantaCatarina/731/2019,EPI1609431,instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs),centers_for_disease_control_and_prevention
A/Concepcion/67001/2019,EPI1574785,instituto_de_salud_publica_de_chile,instituto_de_salud_publica_de_chile
A/Bolivia/977/2019,EPI1603751,cenetrop,centers_for_disease_control_and_prevention
A/Bolivia/1433/2019,EPI1608575,instituto_nacional_de_laboratoriosde_salud_(inlasa),centers_for_disease_control_and_prevention
A/Argentina/14373/2019,EPI1587127,cemic_university_hospital,centers_for_disease_control_and_prevention
A/Santiago/62358/2019,EPI1568662,instituto_de_salud_publica_de_chile,instituto_de_salud_publica_de_chile
A/Argentina/14355/2019,EPI1587056,cemic_university_hospital,centers_for_disease_control_and_prevention
A/Bolivia/996/2019,EPI1606281,cenetrop,centers_for_disease_control_and_prevention
A/Suriname/828/2019,EPI1606459,"central_laboratory,_bureau_of_public_health",centers_for_disease_control_and_prevention
A/Bolivia/1038/2019,EPI1606475,cenetrop,centers_for_disease_control_and_prevention
A/Bolivia/1377/2019,EPI1757529,instituto_nacional_de_laboratoriosde_salud_(inlasa),centers_for_disease_control_and_prevention
A/Concepcion/64528/2019,EPI1574648,instituto_de_salud_publica_de_chile,instituto_de_salud_publica_de_chile
